c_id,Target,Age,Gender,Occupation,No_OF_CR_TXNS,AGE_BKT
1,0,41,M,SELF-EMP,38,41-45
2,0,52,M,SAL,17,>50
3,0,31,F,SENP,8,31-35
4,0,45,F,PROF,14,41-45
5,0,39,F,SENP,1,36-40
6,0,45,M,SENP,11,41-45
7,1,33,M,SAL,24,31-35
8,0,26,F,SELF-EMP,18,26-30
9,0,38,M,SAL,19,36-40
10,1,44,M,SELF-EMP,17,41-45
11,0,28,M,SAL,28,26-30
12,0,33,M,SENP,8,31-35
13,0,41,M,PROF,14,41-45
14,0,42,M,SAL,34,41-45
15,0,43,M,SELF-EMP,16,41-45
16,0,49,M,SAL,11,46-50
17,0,46,M,SENP,4,46-50
18,0,31,M,SELF-EMP,18,31-35
19,0,35,F,SENP,3,31-35
20,0,23,F,SENP,14,<25
21,0,25,M,PROF,1,<25
22,0,43,F,SENP,11,41-45
23,1,41,M,PROF,50,41-45
24,0,46,M,SELF-EMP,28,46-50
25,0,52,M,SAL,27,>50
26,0,37,F,SENP,18,36-40
27,0,47,M,SENP,15,46-50
28,0,52,F,SENP,20,>50
29,0,54,M,SELF-EMP,18,>50
30,0,48,F,PROF,31,46-50
31,0,50,M,SENP,8,46-50
32,0,43,M,PROF,8,41-45
33,0,43,M,SAL,29,41-45
34,0,28,M,SENP,32,26-30
35,0,48,F,SENP,12,46-50
36,0,41,F,SENP,3,41-45
37,0,50,M,PROF,11,46-50
38,0,41,M,PROF,50,41-45
39,0,29,M,SELF-EMP,14,26-30
40,0,25,M,PROF,16,<25
41,0,24,M,SELF-EMP,0,<25
42,1,40,M,SAL,24,36-40
43,0,45,M,PROF,31,41-45
44,0,36,F,SAL,20,36-40
45,0,32,M,SAL,5,31-35
46,0,34,M,SAL,12,31-35
47,0,47,F,SENP,3,46-50
48,0,39,M,SAL,48,36-40
49,0,53,F,SENP,9,>50
50,0,35,M,PROF,31,31-35
51,0,53,F,SENP,12,>50
52,0,54,F,SENP,19,>50
53,0,55,M,PROF,41,>50
54,0,34,M,PROF,5,31-35
55,0,39,F,SENP,11,36-40
56,0,28,M,SAL,4,26-30
57,0,44,M,PROF,12,41-45
58,0,31,M,SELF-EMP,14,31-35
59,0,50,M,SENP,12,46-50
60,0,25,F,SELF-EMP,7,<25
61,0,44,M,SELF-EMP,7,41-45
62,0,52,M,PROF,14,>50
63,0,34,F,SENP,20,31-35
64,0,36,M,SELF-EMP,37,36-40
65,0,32,M,SAL,47,31-35
66,0,52,M,SAL,45,>50
67,0,32,M,PROF,13,31-35
68,1,32,F,SAL,50,31-35
69,0,30,O,PROF,46,26-30
70,0,45,M,PROF,2,41-45
71,0,39,F,SENP,7,36-40
72,0,47,M,SENP,10,46-50
73,0,30,M,PROF,7,26-30
74,0,55,M,SELF-EMP,41,>50
75,0,24,M,SENP,17,<25
76,0,55,M,SAL,20,>50
77,0,34,M,SAL,0,31-35
78,1,34,M,SAL,30,31-35
79,0,25,M,SAL,1,<25
80,0,32,M,PROF,2,31-35
81,0,49,M,PROF,0,46-50
82,0,53,F,SENP,6,>50
83,0,35,M,PROF,48,31-35
84,0,48,M,PROF,31,46-50
85,0,54,F,PROF,14,>50
86,0,49,M,SAL,14,46-50
87,0,42,M,SELF-EMP,40,41-45
88,1,43,M,SAL,33,41-45
89,0,32,M,PROF,17,31-35
90,0,44,M,SELF-EMP,10,41-45
91,0,54,M,PROF,2,>50
92,0,53,M,SAL,15,>50
93,1,27,M,SENP,5,26-30
94,0,44,M,PROF,18,41-45
95,1,44,O,SELF-EMP,49,41-45
96,0,32,F,SENP,6,31-35
97,0,38,M,SELF-EMP,17,36-40
98,0,39,F,SENP,13,36-40
99,0,42,F,SENP,7,41-45
100,0,40,M,SAL,12,36-40
101,0,40,M,SELF-EMP,20,36-40
102,0,34,F,SENP,12,31-35
103,1,32,M,SAL,17,31-35
104,0,38,M,SENP,6,36-40
105,0,53,M,SENP,37,>50
106,0,25,M,SELF-EMP,14,<25
107,0,36,M,SAL,8,36-40
108,0,29,F,SAL,9,26-30
109,0,49,M,SAL,41,46-50
110,0,32,M,SAL,33,31-35
111,0,24,M,PROF,49,<25
112,0,29,M,SAL,43,26-30
113,0,33,F,PROF,7,31-35
114,0,33,M,SAL,7,31-35
115,1,52,M,PROF,39,>50
116,0,50,F,SENP,0,46-50
117,0,46,M,SAL,10,46-50
118,0,53,F,SAL,36,>50
119,0,32,M,SELF-EMP,13,31-35
120,0,26,M,SELF-EMP,17,26-30
121,0,29,M,SAL,31,26-30
122,1,21,M,SENP,10,<25
123,0,38,M,SENP,6,36-40
124,0,28,M,PROF,33,26-30
125,0,24,F,PROF,20,<25
126,0,46,M,SAL,4,46-50
127,0,28,M,SAL,24,26-30
128,0,36,M,PROF,18,36-40
129,0,29,F,SENP,6,26-30
130,0,33,M,SELF-EMP,19,31-35
131,0,24,F,SENP,16,<25
132,0,30,M,SAL,1,26-30
133,0,31,M,PROF,19,31-35
134,0,54,M,SENP,3,>50
135,0,52,M,SELF-EMP,36,>50
136,0,31,M,SAL,48,31-35
137,0,45,M,PROF,34,41-45
138,0,41,F,PROF,6,41-45
139,0,41,F,SELF-EMP,18,41-45
140,0,31,M,SAL,10,31-35
141,0,24,F,SENP,15,<25
142,0,35,M,PROF,20,31-35
143,0,55,M,SAL,15,>50
144,0,26,F,SELF-EMP,23,26-30
145,0,36,F,SAL,10,36-40
146,0,35,F,PROF,6,31-35
147,0,35,F,PROF,3,31-35
148,0,53,M,SENP,10,>50
149,0,36,F,SELF-EMP,5,36-40
150,0,54,M,SENP,3,>50
151,0,40,F,PROF,12,36-40
152,0,35,F,SENP,10,31-35
153,0,51,M,SENP,14,>50
154,0,27,M,PROF,5,26-30
155,0,39,M,SAL,37,36-40
156,0,43,M,SELF-EMP,40,41-45
157,0,45,M,PROF,26,41-45
158,0,33,F,SENP,14,31-35
159,0,42,M,PROF,38,41-45
160,1,50,F,SELF-EMP,15,46-50
161,0,50,F,SENP,0,46-50
162,0,43,M,SENP,0,41-45
163,0,51,M,SAL,39,>50
164,0,53,F,SENP,8,>50
165,1,35,M,SENP,7,31-35
166,1,22,F,SENP,15,<25
167,0,39,M,SENP,9,36-40
168,0,47,M,SELF-EMP,19,46-50
169,0,35,M,SAL,49,31-35
170,0,38,M,PROF,1,36-40
171,0,42,M,SELF-EMP,42,41-45
172,0,27,F,SENP,9,26-30
173,0,40,M,PROF,30,36-40
174,0,52,F,PROF,9,>50
175,0,53,M,PROF,25,>50
176,0,31,M,PROF,19,31-35
177,0,42,M,SAL,34,41-45
178,0,26,M,PROF,15,26-30
179,0,41,M,SENP,12,41-45
180,0,31,M,SELF-EMP,30,31-35
181,1,28,F,SELF-EMP,3,26-30
182,0,25,M,SENP,16,<25
183,0,31,M,SAL,43,31-35
184,0,32,M,SENP,12,31-35
185,0,55,M,SAL,46,>50
186,0,39,M,SAL,0,36-40
187,1,55,M,SENP,29,>50
188,0,27,F,SENP,2,26-30
189,0,27,O,SELF-EMP,24,26-30
190,0,38,F,SENP,11,36-40
191,1,43,M,PROF,46,41-45
192,0,52,M,SENP,19,>50
193,0,32,M,SELF-EMP,1,31-35
194,0,25,M,SAL,14,<25
195,0,45,F,PROF,14,41-45
196,0,23,F,SENP,2,<25
197,0,53,M,PROF,11,>50
198,0,41,F,SENP,2,41-45
199,0,28,M,SELF-EMP,12,26-30
200,0,45,M,SAL,40,41-45
201,0,53,M,SAL,19,>50
202,0,28,F,PROF,9,26-30
203,0,27,M,PROF,8,26-30
204,0,44,M,SAL,14,41-45
205,0,31,F,SENP,9,31-35
206,0,27,M,SAL,2,26-30
207,0,52,F,SENP,9,>50
208,0,50,F,SELF-EMP,20,46-50
209,0,26,M,SAL,9,26-30
210,0,30,M,SENP,15,26-30
211,0,37,F,SELF-EMP,18,36-40
212,0,38,F,SAL,34,36-40
213,0,53,M,SELF-EMP,14,>50
214,0,22,M,SAL,9,<25
215,0,32,F,SAL,37,31-35
216,0,34,M,SAL,30,31-35
217,0,46,F,SENP,15,46-50
218,1,53,M,SELF-EMP,25,>50
219,0,30,M,PROF,1,26-30
220,0,28,M,SAL,34,26-30
221,1,28,M,SELF-EMP,48,26-30
222,0,40,M,SAL,13,36-40
223,0,32,F,SAL,7,31-35
224,0,45,M,PROF,19,41-45
225,0,33,F,SAL,10,31-35
226,0,49,M,SAL,21,46-50
227,0,27,M,SENP,9,26-30
228,0,50,M,SENP,2,46-50
229,0,32,M,PROF,27,31-35
230,0,35,M,SAL,13,31-35
231,0,22,M,PROF,19,<25
232,0,27,M,SENP,18,26-30
233,0,33,M,SAL,29,31-35
234,1,45,M,PROF,7,41-45
235,0,52,M,SAL,45,>50
236,0,25,M,PROF,33,<25
237,0,39,F,SENP,7,36-40
238,0,41,M,PROF,3,41-45
239,0,25,M,SELF-EMP,14,<25
240,0,33,M,SAL,39,31-35
241,0,32,M,SAL,3,31-35
242,0,54,M,PROF,46,>50
243,0,28,M,SAL,38,26-30
244,0,32,M,SENP,2,31-35
245,0,25,F,SENP,11,<25
246,0,31,M,SAL,40,31-35
247,0,55,F,SELF-EMP,0,>50
248,0,45,M,SENP,22,41-45
249,0,30,F,SAL,13,26-30
250,0,32,F,SELF-EMP,11,31-35
251,0,21,M,SAL,27,<25
252,0,28,M,SELF-EMP,7,26-30
253,0,33,F,SENP,2,31-35
254,0,46,M,SELF-EMP,7,46-50
255,0,36,M,SELF-EMP,9,36-40
256,0,48,M,SELF-EMP,8,46-50
257,0,33,M,SAL,6,31-35
258,0,40,F,SENP,9,36-40
259,0,21,F,SENP,2,<25
260,0,35,M,SENP,11,31-35
261,0,55,M,PROF,37,>50
262,0,55,M,SAL,45,>50
263,0,32,F,PROF,5,31-35
264,0,45,F,PROF,3,41-45
265,0,50,M,SELF-EMP,29,46-50
266,1,54,O,SAL,11,>50
267,1,35,M,SAL,23,31-35
268,0,26,M,PROF,6,26-30
269,0,32,M,SELF-EMP,17,31-35
270,0,49,M,SAL,34,46-50
271,0,36,M,SENP,2,36-40
272,1,53,M,SENP,50,>50
273,0,30,F,SAL,1,26-30
274,0,52,M,SAL,43,>50
275,0,33,M,SAL,49,31-35
276,0,38,M,SAL,43,36-40
277,0,53,M,SAL,17,>50
278,0,30,M,SAL,6,26-30
279,0,53,M,SELF-EMP,8,>50
280,0,38,M,SAL,14,36-40
281,0,35,F,SENP,1,31-35
282,0,50,M,PROF,2,46-50
283,0,51,M,PROF,5,>50
284,0,50,M,PROF,8,46-50
285,0,49,M,SAL,14,46-50
286,0,41,M,SAL,9,41-45
287,0,41,M,SELF-EMP,10,41-45
288,0,48,M,PROF,5,46-50
289,0,52,M,SENP,18,>50
290,1,51,M,SELF-EMP,15,>50
291,0,30,M,PROF,3,26-30
292,0,28,M,PROF,10,26-30
293,0,54,M,PROF,9,>50
294,0,43,F,PROF,1,41-45
295,0,40,F,SAL,3,36-40
296,0,32,M,SAL,9,31-35
297,0,37,M,SAL,25,36-40
298,0,51,M,SELF-EMP,28,>50
299,0,38,M,SELF-EMP,19,36-40
300,0,24,M,PROF,18,<25
301,0,31,F,SAL,18,31-35
302,0,50,M,PROF,11,46-50
303,0,31,M,SENP,14,31-35
304,0,22,M,PROF,19,<25
305,0,50,F,PROF,16,46-50
306,0,41,M,PROF,19,41-45
307,0,30,F,SENP,5,26-30
308,0,43,M,SAL,13,41-45
309,0,51,M,SAL,14,>50
310,0,33,M,PROF,3,31-35
311,0,35,M,SELF-EMP,13,31-35
312,1,30,F,SENP,12,26-30
313,0,38,M,SAL,29,36-40
314,0,41,M,PROF,16,41-45
315,0,39,M,SAL,42,36-40
316,0,48,M,SENP,20,46-50
317,0,50,M,SELF-EMP,9,46-50
318,0,47,M,SAL,0,46-50
319,0,26,F,SAL,0,26-30
320,0,44,M,PROF,44,41-45
321,0,34,M,SENP,18,31-35
322,0,31,M,SENP,3,31-35
323,0,55,M,SAL,10,>50
324,0,28,M,SAL,2,26-30
325,0,46,M,SAL,7,46-50
326,0,50,M,PROF,12,46-50
327,0,22,M,SENP,9,<25
328,0,34,F,SENP,11,31-35
329,0,27,M,SAL,18,26-30
330,0,28,M,SENP,7,26-30
331,0,27,F,PROF,6,26-30
332,0,27,F,PROF,4,26-30
333,0,22,M,SELF-EMP,2,<25
334,1,55,M,SENP,17,>50
335,0,51,F,SENP,15,>50
336,0,34,M,PROF,14,31-35
337,1,51,M,SAL,17,>50
338,0,55,M,SAL,4,>50
339,0,37,M,SAL,34,36-40
340,0,34,M,SAL,30,31-35
341,0,27,F,PROF,16,26-30
342,0,51,M,PROF,19,>50
343,0,41,M,SAL,9,41-45
344,0,47,F,SAL,38,46-50
345,0,34,M,PROF,12,31-35
346,0,25,M,PROF,1,<25
347,0,34,F,SAL,11,31-35
348,1,49,M,SENP,50,46-50
349,0,47,M,PROF,34,46-50
350,0,40,M,SAL,12,36-40
351,0,34,M,PROF,19,31-35
352,0,44,M,SELF-EMP,4,41-45
353,0,46,M,PROF,29,46-50
354,0,55,M,SAL,46,>50
355,0,38,M,SENP,19,36-40
356,0,45,M,PROF,14,41-45
357,0,40,M,SELF-EMP,4,36-40
358,0,35,F,SENP,17,31-35
359,0,27,M,SELF-EMP,46,26-30
360,0,43,M,PROF,12,41-45
361,0,50,M,SENP,8,46-50
362,0,24,M,PROF,35,<25
363,0,28,M,SAL,30,26-30
364,0,35,M,SENP,9,31-35
365,0,49,M,PROF,0,46-50
366,0,53,F,SELF-EMP,14,>50
367,0,54,M,SELF-EMP,7,>50
368,0,31,M,PROF,47,31-35
369,0,35,M,SAL,2,31-35
370,1,52,M,PROF,39,>50
371,0,47,M,SAL,20,46-50
372,0,32,M,PROF,14,31-35
373,0,39,M,PROF,17,36-40
374,0,46,F,SENP,20,46-50
375,0,21,O,SAL,6,<25
376,0,54,M,SAL,40,>50
377,0,31,M,SAL,10,31-35
378,0,31,M,SENP,14,31-35
379,0,27,M,PROF,18,26-30
380,0,35,M,SAL,11,31-35
381,0,51,M,SENP,1,>50
382,0,28,M,SELF-EMP,5,26-30
383,0,45,F,SENP,6,41-45
384,0,29,F,SENP,0,26-30
385,0,46,F,SAL,3,46-50
386,0,32,F,SELF-EMP,1,31-35
387,0,53,M,PROF,19,>50
388,0,32,F,SAL,1,31-35
389,0,36,M,SAL,1,36-40
390,0,50,M,PROF,0,46-50
391,0,23,F,SENP,4,<25
392,1,47,M,SENP,14,46-50
393,1,43,F,SENP,3,41-45
394,0,38,M,SENP,12,36-40
395,0,30,F,SAL,8,26-30
396,0,24,M,SELF-EMP,18,<25
397,0,45,F,PROF,20,41-45
398,0,27,M,PROF,26,26-30
399,0,21,M,SENP,15,<25
400,0,43,M,PROF,8,41-45
401,0,33,M,PROF,6,31-35
402,1,34,F,SENP,9,31-35
403,1,30,M,PROF,49,26-30
404,1,51,M,SENP,19,>50
405,0,25,M,SAL,46,<25
406,0,21,M,SENP,20,<25
407,1,37,M,SENP,49,36-40
408,0,55,M,SENP,2,>50
409,0,41,M,PROF,19,41-45
410,1,41,F,SELF-EMP,6,41-45
411,0,51,M,SAL,24,>50
412,1,37,M,SENP,49,36-40
413,1,29,M,SELF-EMP,14,26-30
414,1,35,F,SELF-EMP,6,31-35
415,0,47,F,PROF,15,46-50
416,0,27,O,SAL,36,26-30
417,0,27,F,SENP,0,26-30
418,0,33,M,SAL,39,31-35
419,0,33,M,PROF,6,31-35
420,0,50,F,SAL,39,46-50
421,0,37,M,SAL,49,36-40
422,0,55,M,SAL,10,>50
423,0,32,M,PROF,23,31-35
424,1,43,M,SENP,48,41-45
425,0,31,M,SELF-EMP,18,31-35
426,0,22,M,SELF-EMP,48,<25
427,0,43,M,SAL,2,41-45
428,0,23,M,SENP,13,<25
429,0,32,M,SAL,2,31-35
430,0,32,M,SAL,46,31-35
431,0,48,M,SENP,7,46-50
432,0,46,M,PROF,17,46-50
433,0,31,F,PROF,9,31-35
434,0,54,M,SAL,37,>50
435,0,51,M,SENP,3,>50
436,0,52,M,SELF-EMP,34,>50
437,0,22,F,SENP,3,<25
438,0,39,M,SENP,5,36-40
439,0,54,M,SAL,34,>50
440,0,23,M,PROF,17,<25
441,0,27,F,SENP,0,26-30
442,0,34,M,SELF-EMP,12,31-35
443,0,40,M,SAL,23,36-40
444,0,31,M,SENP,3,31-35
445,0,37,M,PROF,12,36-40
446,0,45,M,SAL,6,41-45
447,0,34,M,PROF,5,31-35
448,0,41,F,SENP,2,41-45
449,0,25,M,PROF,4,<25
450,0,46,M,PROF,12,46-50
451,0,40,F,PROF,0,36-40
452,0,42,M,SAL,5,41-45
453,0,41,F,SENP,11,41-45
454,0,21,F,SELF-EMP,17,<25
455,0,33,M,SENP,12,31-35
456,0,25,M,SAL,1,<25
457,0,34,F,SAL,45,31-35
458,0,43,F,SELF-EMP,2,41-45
459,0,35,F,SENP,3,31-35
460,1,50,F,SENP,16,46-50
461,0,48,M,PROF,30,46-50
462,0,55,M,SELF-EMP,5,>50
463,0,55,M,SELF-EMP,19,>50
464,0,37,M,SENP,32,36-40
465,0,44,M,SAL,0,41-45
466,0,36,F,SENP,2,36-40
467,0,32,M,PROF,7,31-35
468,0,38,M,SAL,42,36-40
469,0,38,F,SENP,8,36-40
470,0,41,M,SELF-EMP,20,41-45
471,0,27,F,SELF-EMP,15,26-30
472,0,48,M,PROF,49,46-50
473,0,41,M,SAL,17,41-45
474,0,46,M,SAL,18,46-50
475,0,32,M,PROF,17,31-35
476,0,24,F,SENP,7,<25
477,0,52,M,SENP,7,>50
478,0,31,M,PROF,8,31-35
479,0,27,M,PROF,26,26-30
480,0,28,M,SAL,36,26-30
481,0,41,M,SAL,29,41-45
482,0,51,M,SAL,43,>50
483,0,45,M,SENP,10,41-45
484,0,26,M,SELF-EMP,34,26-30
485,0,36,O,PROF,30,36-40
486,0,31,F,PROF,10,31-35
487,0,45,M,SENP,1,41-45
488,0,31,M,SAL,34,31-35
489,0,45,M,SENP,4,41-45
490,0,38,F,SENP,16,36-40
491,0,33,M,SAL,45,31-35
492,0,43,M,SAL,19,41-45
493,0,54,M,SENP,1,>50
494,0,33,F,SAL,26,31-35
495,0,23,M,SAL,15,<25
496,0,26,F,SELF-EMP,4,26-30
497,0,36,M,SENP,16,36-40
498,0,37,F,SENP,1,36-40
499,0,28,O,SELF-EMP,33,26-30
500,1,42,M,SELF-EMP,22,41-45
501,0,32,M,SELF-EMP,26,31-35
502,0,50,M,SAL,19,46-50
503,0,32,F,SENP,1,31-35
504,0,53,M,SELF-EMP,15,>50
505,0,33,M,PROF,4,31-35
506,0,35,M,PROF,10,31-35
507,1,45,M,SELF-EMP,36,41-45
508,0,42,M,SELF-EMP,32,41-45
509,0,35,M,SAL,36,31-35
510,0,55,M,SENP,6,>50
511,0,51,F,SENP,15,>50
512,0,48,M,PROF,49,46-50
513,0,40,F,SAL,6,36-40
514,0,26,F,SENP,15,26-30
515,0,28,F,PROF,12,26-30
516,0,29,M,SAL,0,26-30
517,0,55,M,SAL,15,>50
518,0,50,M,PROF,2,46-50
519,0,27,F,PROF,6,26-30
520,0,53,F,SENP,8,>50
521,0,36,M,SENP,4,36-40
522,1,44,M,SELF-EMP,9,41-45
523,0,34,M,SELF-EMP,18,31-35
524,0,46,M,SAL,33,46-50
525,0,32,M,SENP,18,31-35
526,0,27,M,SAL,10,26-30
527,0,31,F,SENP,16,31-35
528,0,37,M,PROF,16,36-40
